playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2558865,Chris Carson,SEA,RB,26,3,NA,169.3,207.2270894,18.8602192,6.177508037,5,37.92708942,33.7,15.9,2.7,3.178333507,NA,16,188.6965691,84.91010028,83.92466816,91.39339277,18,15,11.79353557,5.306881268,5.24529176,5.632823414,28.9933,23.195,-10.9933,26,7.257560352
2557973,Leonard Fournette,JAC,RB,24,3,NA,150.1,204.6693846,23.69301111,6.481216185,5,54.56938459,42.5,18.8,3.3,3.348250825,NA,16,185.088532,81.30206315,64.72466816,88.83568795,19,16,11.56803325,5.081378947,4.04529176,5.472966863,29.5433,21.975,-10.5433,25,7.403541281
2540175,LeVeon Bell,NYJ,RB,28,7,NA,158.7,204.1202143,19.67801316,5.818984092,6,45.42021427,53.3,21.9,3.1,3.291611719,NA,16,179.9495902,76.16312134,73.32466816,88.28651762,20,17,11.24684939,4.760195084,4.58279176,5.438643717,28.65,19.095,-8.65,22,8.179526827
2543495,Davante Adams,GB,WR,28,6,NA,185.1933994,201.7521884,6.89335486,8.505463499,2,16.55878897,8.8,2.3,1,2.964407667,NA,16,195.9410741,75.00034856,85.18363749,63.57960583,21,2,12.24631713,4.618596751,5.323977343,3.973725364,10.8333,44.42,10.1667,49,3.998797431
2553435,David Johnson,HOU,RB,29,5,NA,161.4,194.8575797,16.61600344,6.626549086,6,33.45757974,51.2,21,3.1,3.291611719,NA,16,177.2650415,73.47857259,76.02466816,79.0238831,22,18,11.07906509,4.592410787,4.75154176,4.859729059,35.17,18.42,-13.17,21,8.44119245
2556214,Tyreek Hill,KC,WR,26,4,NA,164.5461997,208.6765011,19.82388169,11.54483988,2,44.13030142,11.2,3.2,1.1,2.980300182,NA,16,190.6453152,69.70458962,64.53643779,70.50391857,23,3,11.9153322,4.287611817,4.033527362,4.406494911,13.1467,41.78,9.8533,46,4.144463374
2540258,Travis Kelce,KC,TE,31,7,NA,154.3538003,175.8823458,9.834718079,24.35703632,1,21.52854545,17.5,1.2,0.4,2.456412723,NA,16,166.7459042,68.12691441,71.79966816,63.02169044,24,1,10.42161901,4.25793215,4.48747926,3.938855653,17.7733,35.075,6.2267,39,4.275536005
2557978,James Conner,PIT,RB,25,3,NA,158.0005961,185.4589798,14.92225721,2.122653028,6,27.45838369,44.1,19,3.3,3.348250825,NA,16,170.9961708,67.2097019,72.62526428,69.62528317,25,19,10.68726067,4.200606369,4.539079018,4.272316564,25.6633,20.59,-0.6633,23,7.43461612
2552469,Melvin Gordon,DEN,RB,27,5,NA,148.6690015,188.074126,19.42897289,5.841441235,6,39.40512456,45.5,19.6,3,3.263292166,NA,16,170.280814,66.49434511,63.29366965,72.2404294,26,20,10.64255087,4.15589657,3.955854353,4.435763203,35.3667,22.305,-9.3667,25,6.811232559
2555260,Dak Prescott,DAL,QB,27,4,NA,372.1461997,427.7832561,21.08794833,11.31894649,2,55.63705636,55.1,3.6,1,3.939531917,NA,16,405.8453425,63.70934877,59.69781081,60.94167996,27,3,25.36533391,3.981834298,3.731113176,3.808854998,77.2567,16.885,-50.2567,19,21.36028119
